"","run 1","run 2","run 3","run 4","run 5","run 6","run 7","run 8","run 9","run 10","Average"
"11997",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10097,11340.293
"11998",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"11999",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12000",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12001",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12002",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12003",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12004",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12005",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12006",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10117,11342.293
"12007",11864.08,11112.2,10733.5,11269.25,11550.08,11722.37,12300.2,10969.5,11814.75,10117,11345.293
"12008",11864.08,11112.2,10733.5,11269.25,11550.08,11722.37,12300.2,10969.5,11814.75,10117,11345.293
"12009",11864.08,11112.2,10733.5,11269.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11345.893
"12010",11864.08,11112.2,10733.5,11269.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11345.893
"12011",11864.08,11132.2,10733.5,11269.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11347.893
"12012",11864.08,11132.2,10733.5,11279.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11348.893
"12013",11873.08,11132.2,10733.5,11279.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11349.793
"12014",11873.08,11132.2,10733.5,11279.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11349.793
"12015",11873.08,11132.2,10733.5,11294.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11351.293
"12016",11873.08,11132.2,10733.5,11294.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11351.293
"12017",11873.08,11132.2,10733.5,11294.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11351.293
"12018",11873.08,11132.2,10733.5,11294.25,11550.08,11722.37,12300.2,10969.5,11820.75,10117,11351.293
"12019",11873.08,11132.2,10733.5,11294.25,11550.08,11722.37,12300.2,10979.5,11820.75,10138,11354.393
"12020",11873.08,11132.2,10733.5,11310.25,11550.08,11722.37,12300.2,10979.5,11820.75,10138,11355.993
"12021",11873.08,11132.2,10733.5,11327.25,11550.08,11722.37,12300.2,10979.5,11820.75,10138,11357.693
"12022",11873.08,11132.2,10733.5,11327.25,11550.08,11722.37,12300.2,10979.5,11820.75,10138,11357.693
"12023",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12024",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12025",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12026",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12027",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12028",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12029",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12030",11873.08,11132.2,10733.5,11327.25,11572.08,11722.37,12300.2,10979.5,11820.75,10138,11359.893
"12031",11873.08,11132.2,10753.5,11327.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11363.893
"12032",11873.08,11132.2,10758.5,11327.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11364.393
"12033",11873.08,11132.2,10758.5,11327.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11364.393
"12034",11873.08,11132.2,10758.5,11327.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11364.393
"12035",11873.08,11132.2,10758.5,11327.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11364.393
"12036",11873.08,11132.2,10767.5,11332.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11365.793
"12037",11873.08,11132.2,10767.5,11332.25,11572.08,11722.37,12310.2,10979.5,11830.75,10138,11365.793
"12038",11873.08,11132.2,10767.5,11332.25,11572.08,11722.37,12310.2,10979.5,11830.75,10143,11366.293
"12039",11873.08,11132.2,10767.5,11332.25,11572.08,11722.37,12330.2,10979.5,11830.75,10158,11369.793
"12040",11873.08,11132.2,10767.5,11332.25,11572.08,11722.37,12330.2,10979.5,11830.75,10158,11369.793
"12041",11873.08,11162.2,10767.5,11332.25,11572.08,11722.37,12330.2,10979.5,11830.75,10158,11372.793
"12042",11873.08,11162.2,10767.5,11332.25,11572.08,11722.37,12330.2,10979.5,11830.75,10158,11372.793
"12043",11873.08,11162.2,10767.5,11332.25,11572.08,11722.37,12330.2,10979.5,11850.75,10193,11378.293
"12044",11873.08,11162.2,10767.5,11336.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11380.393
"12045",11873.08,11162.2,10767.5,11336.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11380.393
"12046",11873.08,11162.2,10767.5,11336.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11380.393
"12047",11873.08,11162.2,10767.5,11336.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11380.393
"12048",11873.08,11162.2,10767.5,11336.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11380.393
"12049",11873.08,11162.2,10767.5,11351.25,11572.08,11722.37,12330.2,10979.5,11850.75,10210,11381.893
"12050",11873.08,11162.2,10767.5,11351.25,11572.08,11722.37,12330.2,10985.5,11850.75,10210,11382.493
"12051",11873.08,11162.2,10767.5,11351.25,11572.08,11722.37,12330.2,10985.5,11850.75,10210,11382.493
"12052",11883.08,11162.2,10767.5,11351.25,11572.08,11722.37,12330.2,11010.5,11850.75,10210,11385.993
"12053",11883.08,11162.2,10767.5,11351.25,11572.08,11722.37,12330.2,11010.5,11861.75,10210,11387.093
"12054",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12055",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12056",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12057",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12058",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12059",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12060",11883.08,11162.2,10767.5,11351.25,11582.08,11722.37,12330.2,11010.5,11861.75,10210,11388.093
"12061",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12062",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12063",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12064",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12065",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12066",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12067",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12068",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12069",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12070",11883.08,11162.2,10767.5,11351.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11390.593
"12071",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12072",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12073",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12074",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12075",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12076",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12077",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12078",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12079",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12330.2,11010.5,11861.75,10210,11392.093
"12080",11883.08,11162.2,10767.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11393.093
"12081",11883.08,11183.2,10767.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11395.193
"12082",11883.08,11183.2,10767.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11395.193
"12083",11893.08,11183.2,10767.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11396.193
"12084",11900.08,11183.2,10767.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11396.893
"12085",11910.08,11183.2,10782.5,11366.25,11607.08,11722.37,12340.2,11010.5,11861.75,10210,11399.393
"12086",11910.08,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11401.393
"12087",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12088",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12089",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12090",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12091",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12092",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12093",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12094",11922.58,11183.2,10782.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11402.643
"12095",11930.58,11198.2,10784.5,11366.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11405.143
"12096",11938.58,11198.2,10794.5,11376.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11407.943
"12097",11938.58,11198.2,10794.5,11376.25,11607.08,11722.37,12360.2,11010.5,11861.75,10210,11407.943
"12098",11938.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11409.243
"12099",11938.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11409.243
"12100",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12101",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12102",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12103",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12104",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12105",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12106",11948.58,11198.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.243
"12107",11948.58,11203.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.743
"12108",11948.58,11203.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.743
"12109",11948.58,11203.2,10794.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11410.743
"12110",11948.58,11203.2,10819.5,11381.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11413.243
"12111",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11414.243
"12112",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11414.243
"12113",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11414.243
"12114",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12360.2,11010.5,11869.75,10210,11414.243
"12115",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10210,11416.243
"12116",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10210,11416.243
"12117",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11417.843
"12118",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11417.843
"12119",11948.58,11203.2,10819.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11417.843
"12120",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12121",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12122",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12123",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12124",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12125",11958.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11420.343
"12126",11970.58,11203.2,10834.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11421.543
"12127",11970.58,11203.2,10839.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11422.043
"12128",11970.58,11203.2,10839.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11422.043
"12129",11970.58,11203.2,10839.5,11391.25,11607.08,11722.37,12380.2,11010.5,11869.75,10226,11422.043
"12130",11970.58,11203.2,10839.5,11391.25,11607.08,11747.37,12385.2,11010.5,11869.75,10226,11425.043
"12131",11970.58,11203.2,10839.5,11391.25,11607.08,11767.37,12385.2,11010.5,11869.75,10226,11427.043
"12132",11970.58,11203.2,10839.5,11391.25,11607.08,11767.37,12385.2,11010.5,11869.75,10226,11427.043
"12133",11970.58,11203.2,10839.5,11391.25,11607.08,11767.37,12385.2,11010.5,11869.75,10226,11427.043
"12134",11970.58,11203.2,10839.5,11391.25,11607.08,11767.37,12385.2,11020.5,11869.75,10226,11428.043
"12135",11970.58,11203.2,10839.5,11391.25,11607.08,11767.37,12385.2,11020.5,11869.75,10226,11428.043
"12136",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11020.5,11869.75,10226,11429.643
"12137",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11869.75,10226,11430.543
"12138",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11869.75,10226,11430.543
"12139",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11869.75,10226,11430.543
"12140",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11869.75,10246,11432.543
